"id","geom","heigh","id_shp","nm_village","nm_town","nm_county","nm_busi_in","dis_tam","area"
213494,"MULTIPOLYGON (((116.46197573158703 39.8956630435382, 116.461975751256 39.89550665859774, 116.46142138262901 39.895513465968406, 116.46142138987699 39.895455850382056, 116.46131374679001 39.8954555748867, 116.46122225045204 39.89545534094672, 116.461222231813 39.89560349521513, 116.46131372815204 39.89560372915502, 116.46141598907603 39.89560399086869, 116.46141598079198 39.8956698371088, 116.46197573158703 39.8956630435382)))","54",645.0,九龙南社区,双井街道,朝阳区,"大望路,双井",6343.206583190578,0.575663360485077
213498,"MULTIPOLYGON (((116.47509454039502 39.896019688481466, 116.47482534158698 39.89601892488526, 116.47482532407699 39.89615884730629, 116.47509452288601 39.896159610902494, 116.47548755550596 39.896160727736586, 116.47549295034601 39.896074320413426, 116.47549295703897 39.896020820631044, 116.47509454039502 39.896019688481466)))","54",641.0,大望社区,双井街道,朝阳区,大望路,7198.526203386679,0.352545471326828
213504,"MULTIPOLYGON (((116.44220284596602 39.89694707528473, 116.443407583169 39.896941234103856, 116.44390240453902 39.89694223066749, 116.44390242328704 39.89679407933469, 116.44390245817904 39.89651835240211, 116.44369269560701 39.896517928873166, 116.443692660712 39.89679365580592, 116.44369265810803 39.896814232398796, 116.44340759879499 39.89681777468179, 116.44238571960004 39.896819859844946, 116.44238572324699 39.89679105261652, 116.44238577586898 39.896375404134666, 116.44220291786797 39.89637916019298, 116.44220286576504 39.89679069333121, 116.44220284596602 39.89694707528473)))","54",644.0,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476149643,0.648177794464111
213506,"MULTIPOLYGON (((116.45135822895803 39.89732864471172, 116.45167028560797 39.897325240573146, 116.45172408877602 39.897325363495796, 116.451724080464 39.89739120808353, 116.45186935010396 39.89738742514477, 116.45186935789604 39.89732569584213, 116.45203614990399 39.89732196295293, 116.45203616185202 39.89722731124317, 116.45167029755699 39.897230588868986, 116.45106770986702 39.89722921838792, 116.45106769791498 39.89732387009209, 116.45114302059197 39.89732404077209, 116.451143011239 39.897398115928944, 116.451358220125 39.89739860457993, 116.45135822895803 39.89732864471172)))","54",643.0,富力社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
213507,"MULTIPOLYGON (((116.45027142838698 39.89744142013592, 116.45027143774296 39.89736734502729, 116.45029295779999 39.89736739322474, 116.45064804141903 39.897368190637984, 116.450642653011 39.89743402307047, 116.450771775553 39.89743431402182, 116.45077178386695 39.897368469476895, 116.45094394881104 39.89736474295647, 116.45094396076298 39.897270091308435, 116.45029296975397 39.89727274158213, 116.44998093076697 39.89727204418736, 116.44998091881102 39.897366695830065, 116.450056238207 39.897366863877686, 116.45005622936998 39.897436823704595, 116.45027142838698 39.89744142013592)))","54",643.0,富力社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
213512,"MULTIPOLYGON (((116.45709413963796 39.89778252378773, 116.45692193554298 39.897782103108774, 116.45692192361501 39.89787675407779, 116.45692726971298 39.89815660410441, 116.45709409244895 39.898157011649694, 116.45709412771097 39.89787717475666, 116.45709413963796 39.89778252378773)))","54",90601.0,黄木厂社区,双井街道,朝阳区,"CBD,双井",6187.598181156298,0.967865432794213
213517,"MULTIPOLYGON (((116.46867688204397 39.89887840315809, 116.46866615529702 39.89856150276354, 116.46820319730303 39.898568473797695, 116.467853290478 39.898575755268496, 116.46786401699501 39.898892655409384, 116.46820315753803 39.898885344814765, 116.46867688204397 39.89887840315809)))","54",640.0,九龙社区,双井街道,朝阳区,"CBD,双井",6187.598181156298,0.967865432794213
246425,"MULTIPOLYGON (((116.442032422134 39.88370652633247, 116.442021665949 39.88370650530378, 116.44202165084401 39.883825871891766, 116.44203240702902 39.883825892920456, 116.44241425502801 39.88382664218431, 116.44241427013095 39.88370727559641, 116.442032422134 39.88370652633247)))","6",637.0,广和里社区,双井街道,朝阳区,劲松,4859.430144353627,0.274446675275445
246516,"MULTIPOLYGON (((116.44369426034496 39.88415024640151, 116.44368351948698 39.88402262653812, 116.443543678481 39.88402646118779, 116.44354904132504 39.88414995411096, 116.44369426034496 39.88415024640151)))","6",637.0,广和里社区,双井街道,朝阳区,劲松,4859.430144353627,0.274446675275445
246742,"MULTIPOLYGON (((116.45394238903701 39.8853375209751, 116.45394239733997 39.88527166497711, 116.45402310911804 39.885271855042674, 116.454023114826 39.88522657900793, 116.45402311638298 39.885214230993405, 116.45384555027503 39.88521792911344, 116.45384554923702 39.885226161122915, 116.45384553522503 39.885337293155736, 116.45394238903701 39.8853375209751)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
246748,"MULTIPOLYGON (((116.45271024781196 39.885112379638414, 116.45255959353803 39.88511203104952, 116.45255957951998 39.885223163259624, 116.45255418293104 39.88535074684581, 116.45271021770102 39.88535110787133, 116.452710233795 39.8852235118486, 116.45271024781196 39.885112379638414)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
