id,geom_xq,fid,nm_xq,id_xq,lon_earth,lat_earth,lon_mars,lat_mars,id_county,nm_county,nm_shangqu,manage_com,bld_area,r_green,plot_ratio,dishang,dixia,n_parking,n_bld,n_hhld,year_built,fee,n_sale,n_rent,developer,price,yt_bieshu,yt_gongyu,yt_pingfan,yt_zhuzhai,yt_shangye,yt_shangzh,yt_siheyua,id_xq_old,id_beike,yt_unkow_1,area_beike,area_xq,area_ratio,avg_area,unit_rent,id_shp,id_shp2,id_shp,nm_village,nm_town,nm_county,nm_busi_in,dis_tam,area
5888,"MULTIPOLYGON (((116.44590195880846 39.899072937865874, 116.44631709305942 39.89905281103847, 116.44697188854182 39.899084197377874, 116.44695897247868 39.89813721216268, 116.44692593228604 39.89773116016494, 116.44424468364527 39.89775857599756, 116.44421557438933 39.89801450506542, 116.44423661582721 39.89812154327468, 116.44452437819757 39.898126129817115, 116.44456734690561 39.89928116599304, 116.44500452174134 39.89921006739077, 116.44548582720927 39.89911706849796, 116.44590195880846 39.899072937865874)))",5888,双花园南里二区,108721,116.4456784,39.89841957,116.4518656,39.89978202,110105000,朝阳区,双井,北京市光环物业管理中心,27038,35,2,270,0,270,5,431,2002,1.6,11,3,北京金隅嘉业房地产开发公司,70638,0,1,0,1,1,0,0,4388,109517219,0,0.048428966,0.032736053,0.675960191,62.79434851,104,5887,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
5889,"MULTIPOLYGON (((116.44386449704893 39.89921773950716, 116.44387667476884 39.89806781597696, 116.44181234756182 39.898068717996985, 116.44174199000086 39.899483517950046, 116.44249290502364 39.899468989402415, 116.44259918420506 39.899423201319735, 116.44267738655218 39.8994133564413, 116.44319773248945 39.89940539114593, 116.44324886884034 39.89937949426832, 116.44332909106481 39.89926565988236, 116.44336418620833 39.89923973152844, 116.44345642787187 39.899227917134745, 116.44386449704893 39.89921773950716)))",5889,双花园南里一区,108723,116.4427818,39.89873333,116.4489759,39.90010105,110105000,朝阳区,双井,北京市光环物业管理中心,35021,25,3,210,0,210,8,725,2000,1.1,15,1,北京金隅嘉业房地产开发公司,60718,0,0,0,1,1,0,0,4387,109517223,0,0.0372922,0.026120454,0.700426728,48.30917874,81,5888,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
5653,"MULTIPOLYGON (((116.44389948157584 39.88421850288165, 116.4439035249278 39.883964523543966, 116.44390656463634 39.88370754226929, 116.4439175975192 39.88367656602077, 116.44393164043288 39.88363159632115, 116.44396173264795 39.88352566247937, 116.4430052362028 39.88353474113546, 116.44301117532552 39.88414472429963, 116.44357965387803 39.884139861665346, 116.44357763669859 39.88423185331743, 116.44389948157584 39.88421850288165)))",5653,劲松路,103935,116.4434742,39.88384943,116.4496648,39.88521524,110105000,朝阳区,劲松,北京国贸物业管理有限公司,-1,33,2.3,0,0,0,2,73,1979,0.8,-1,-1,-1,60658,0,0,0,1,0,0,0,7458,109509435,0,0.005507623,0.005507623,1,-1,-1,5649,,637,广和里社区,双井街道,朝阳区,劲松,4859.430144,0.274446675
5654,"MULTIPOLYGON (((116.44459039203298 39.88355394076183, 116.44438184104922 39.88353651549784, 116.44396774731376 39.88353667377851, 116.4439346477659 39.88363760199377, 116.4439165929764 39.883698562538655, 116.44391855889444 39.88400555151503, 116.4439075008305 39.884235518954085, 116.44390142051418 39.884749481503434, 116.44445688497728 39.884764609898866, 116.44459039203298 39.88355394076183)))",5654,劲松嘉园,100751,116.4442205,39.88413218,116.4504094,39.88549666,110105000,朝阳区,劲松,北京瑞尔物业管理有限责任公司,23000,33,2.3,60,360,420,2,336,1999,1.9,3,-1,北京城市开发集团有限责任公司,57428,0,0,0,1,1,0,0,7461,109509423,0,0.007056635,0.007056635,1,68.45238095,-1,5650,,637,广和里社区,双井街道,朝阳区,劲松,4859.430144,0.274446675
5655,"MULTIPOLYGON (((116.44387033724638 39.88476241825106, 116.44387240748563 39.884247446662414, 116.44355357084066 39.8842578041544, 116.44355659076416 39.8841648142548, 116.442923946483 39.8841695491854, 116.44291799027314 39.883701559979045, 116.44198359826453 39.88368271918222, 116.44201157707266 39.88441273935649, 116.44305425465018 39.88439679797392, 116.44305420788544 39.88476377982465, 116.44387033724638 39.88476241825106)))",5655,广和南里二条,103936,116.4428671,39.88422676,116.4490592,39.88559365,110105000,朝阳区,劲松,国贸物业管理公司,-1,30,1.5,50,0,50,4,544,1991,1.53,4,1,北京金隅嘉业房地产开发公司,62713,0,0,0,1,0,0,0,9190,109498363,0,0.010909764,0.010909764,1,-1,85,5651,,637,广和里社区,双井街道,朝阳区,劲松,4859.430144,0.274446675
5657,"MULTIPOLYGON (((116.44048451744663 39.88624870981016, 116.44154536402743 39.886318581737214, 116.44154616622268 39.88625474605976, 116.44162643161462 39.8857559253957, 116.4416204619148 39.885399930562414, 116.44160345933221 39.88507591292307, 116.44158445395942 39.88474489136371, 116.44155041102272 39.884398842132896, 116.44151135976153 39.884031783839816, 116.44143021303398 39.883571649312216, 116.44064725696535 39.88358014700623, 116.43996858897924 39.883550864181075, 116.43980405801096 39.88457150656984, 116.43927669736172 39.88521149381546, 116.43924561409392 39.885278433053315, 116.43966061614458 39.88530020384138, 116.43980594838592 39.8854744672729, 116.44048761920828 39.885496751573896, 116.44048556695543 39.885870730150145, 116.44048451744663 39.88624870981016)))",5657,广和南里,100756,116.4407139,39.88485445,116.4469109,39.88622506,110105000,朝阳区,劲松,-1,11000,30,0.92,250,0,250,1,1600,1985,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,9191,109498359,0,0.04154518,0.04154518,1,-1,-1,5655,,637,广和里社区,双井街道,朝阳区,劲松,4859.430144,0.274446675
5678,"MULTIPOLYGON (((116.44429430463856 39.88594822203288, 116.44449587598399 39.885651647205805, 116.444512017016 39.88487571754041, 116.4420516193868 39.884881795158776, 116.4416475935617 39.884895007098976, 116.44170664754381 39.88565108602887, 116.44163138328179 39.88624091178872, 116.44357337121414 39.88624874848102, 116.44381199103066 39.886288227819534, 116.44429430463856 39.88594822203288)))",5678,和平村E区,100726,116.443041,39.88554263,116.4492328,39.88690927,110105000,朝阳区,劲松,-1,11000,30,0.92,-1,-1,-1,4,888,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,8812,143613510,0,0.035239916,0.035239916,1,-1,-1,5676,,637,广和里社区,双井街道,朝阳区,劲松,4859.430144,0.274446675
5680,"MULTIPOLYGON (((116.43989602807926 39.88658758335032, 116.43995822519196 39.88622671688955, 116.44047048622406 39.886215684906006, 116.4404805721208 39.88573772671475, 116.44047458623322 39.88550272666953, 116.43979191356607 39.885482440662145, 116.43963956391485 39.88530816374083, 116.43923959852873 39.88528242154655, 116.43895862334182 39.88765379078984, 116.43982170001152 39.88774738953043, 116.43989602807926 39.88658758335032)))",5680,劲松九区,103945,116.4396128,39.88644173,116.4458123,39.88781425,110105000,朝阳区,劲松,中国社会科学院服务局物业管理处,-1,30,2,1000,0,1000,6,1000,1988,1.78,17,4,北京城建集团有限责任公司,59886,0,0,0,1,0,0,0,7460,109509415,0,0.021675853,0.021675853,1,-1,101,5678,,637,广和里社区,双井街道,朝阳区,劲松,4859.430144,0.274446675
5682,"MULTIPOLYGON (((116.44154536402743 39.886318581737214, 116.44048451744663 39.88624870981016, 116.43996824723683 39.88625073508342, 116.43990705466695 39.88658660398863, 116.4398719091613 39.88706151527674, 116.4398317247543 39.887746408370106, 116.43988083852992 39.88779149767953, 116.43986174952022 39.888126446578326, 116.44091634941003 39.88814044362664, 116.4409224072433 39.887804471299376, 116.44153093080786 39.887814642631724, 116.44153502632048 39.88714168174329, 116.44154536402743 39.886318581737214)))",5682,和平村A区,103946,116.4406669,39.88715711,116.4468643,39.88852792,110105000,朝阳区,劲松,-1,-1,-1,-1,-1,-1,-1,4,592,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,8813,111622940,0,0.027381519,0.027381519,1,-1,-1,5680,,637,广和里社区,双井街道,朝阳区,劲松,4859.430144,0.274446675
5684,"MULTIPOLYGON (((116.4411053284482 39.88854888062639, 116.44156932286603 39.888542931611084, 116.44156932286603 39.88791237465642, 116.44109343131686 39.88793022080313, 116.4411053284482 39.88854888062639)))",5684,广和里七巷,103950,116.4413351,39.88823225,116.4475311,39.88960199,110105000,朝阳区,劲松,街道办事处（委员会）代管物业,-1,30,1.2,20,0,20,4,282,1986,0.6,2,1,北京城建集团有限责任公司,63685,0,0,0,1,0,0,0,9193,109498339,0,0.002786236,0.002786236,1,-1,87,5682,,637,广和里社区,双井街道,朝阳区,劲松,4859.430144,0.274446675
