mmac	est_utc	est	qiuqian1
581a328bcacf4f209f976608d047e677	1615774320	2021/3/15 10:12:00	26
581a328bcacf4f209f976608d047e677	1615774380	2021/3/15 10:13:00	27
581a328bcacf4f209f976608d047e677	1615774560	2021/3/15 10:16:00	25
581a328bcacf4f209f976608d047e677	1615774800	2021/3/15 10:20:00	26
581a328bcacf4f209f976608d047e677	1615774980	2021/3/15 10:23:00	25
581a328bcacf4f209f976608d047e677	1615775040	2021/3/15 10:24:00	26
581a328bcacf4f209f976608d047e677	1615775460	2021/3/15 10:31:00	25
581a328bcacf4f209f976608d047e677	1615775700	2021/3/15 10:35:00	26
581a328bcacf4f209f976608d047e677	1615776060	2021/3/15 10:41:00	25
581a328bcacf4f209f976608d047e677	1615776720	2021/3/15 10:52:00	25
581a328bcacf4f209f976608d047e677	1615778040	2021/3/15 11:14:00	26
581a328bcacf4f209f976608d047e677	1615779240	2021/3/15 11:34:00	25
581a328bcacf4f209f976608d047e677	1615779300	2021/3/15 11:35:00	25
581a328bcacf4f209f976608d047e677	1615779840	2021/3/15 11:44:00	26
581a328bcacf4f209f976608d047e677	1615779900	2021/3/15 11:45:00	26
581a328bcacf4f209f976608d047e677	1615780440	2021/3/15 11:54:00	26
581a328bcacf4f209f976608d047e677	1615780980	2021/3/15 12:03:00	27
581a328bcacf4f209f976608d047e677	1615781460	2021/3/15 12:11:00	26
581a328bcacf4f209f976608d047e677	1615781580	2021/3/15 12:13:00	25
581a328bcacf4f209f976608d047e677	1615781640	2021/3/15 12:14:00	26
581a328bcacf4f209f976608d047e677	1615782180	2021/3/15 12:23:00	25
581a328bcacf4f209f976608d047e677	1615782660	2021/3/15 12:31:00	26
581a328bcacf4f209f976608d047e677	1615782720	2021/3/15 12:32:00	25
581a328bcacf4f209f976608d047e677	1615782900	2021/3/15 12:35:00	25
581a328bcacf4f209f976608d047e677	1615783560	2021/3/15 12:46:00	27
581a328bcacf4f209f976608d047e677	1615783740	2021/3/15 12:49:00	27
581a328bcacf4f209f976608d047e677	1615785480	2021/3/15 13:18:00	30
581a328bcacf4f209f976608d047e677	1615785720	2021/3/15 13:22:00	26
581a328bcacf4f209f976608d047e677	1615786620	2021/3/15 13:37:00	28
581a328bcacf4f209f976608d047e677	1615787460	2021/3/15 13:51:00	29
581a328bcacf4f209f976608d047e677	1615788300	2021/3/15 14:05:00	26
